address,Apart,pps,gu,dong,size,floor,year,long,lat
가재울로 45,남가좌동현대,572,서대문구,남가좌동,59.4,4,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,409,서대문구,남가좌동,114.9,2,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,498,서대문구,남가좌동,84.78,3,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,488,서대문구,남가좌동,59.4,2,17,126.9214214,37.5750966
가재울로 45,남가좌동현대,537,서대문구,남가좌동,59.4,7,17,126.9214214,37.5750966
가재울로4길 46,명지플러스빌(B),359,서대문구,남가좌동,82.11,7,12,126.9240424,37.57565117
가재울로4길 46,명지플러스빌(B),402,서대문구,남가좌동,82.11,4,12,126.9240424,37.57565117
가재울로6길 53,백련미라보,353,서대문구,남가좌동,59.27,2,24,126.9239021,37.57646874
가재울로6길 53,백련미라보,350,서대문구,남가좌동,36.86,2,24,126.9239021,37.57646874
가재울로6길 53,백련미라보,335,서대문구,남가좌동,39.69,6,24,126.9239021,37.57646874
가재울미래로 2,DMC파크뷰자이1단지,569,서대문구,남가좌동,175.078,26,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,733,서대문구,남가좌동,84.971,18,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,565,서대문구,남가좌동,84.968,2,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,518,서대문구,남가좌동,121.614,12,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,735,서대문구,남가좌동,84.968,14,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,730,서대문구,남가좌동,84.971,20,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,733,서대문구,남가좌동,84.968,11,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,737,서대문구,남가좌동,84.968,15,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,728,서대문구,남가좌동,84.968,9,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,649,서대문구,남가좌동,121.614,29,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,603,서대문구,남가좌동,152.146,29,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,735,서대문구,남가좌동,84.968,11,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,515,서대문구,남가좌동,121.614,10,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,579,서대문구,남가좌동,152.146,19,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,562,서대문구,남가좌동,152.146,12,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,731,서대문구,남가좌동,84.971,21,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,591,서대문구,남가좌동,152.146,24,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,739,서대문구,남가좌동,84.971,16,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,728,서대문구,남가좌동,84.968,9,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,514,서대문구,남가좌동,175.078,8,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,584,서대문구,남가좌동,152.146,21,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,594,서대문구,남가좌동,152.146,25,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,584,서대문구,남가좌동,152.146,21,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,1027,서대문구,남가좌동,59.977,16,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,746,서대문구,남가좌동,84.98,18,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,754,서대문구,남가좌동,84.971,14,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,1054,서대문구,남가좌동,59.981,11,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,1053,서대문구,남가좌동,59.981,11,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,1054,서대문구,남가좌동,59.981,13,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,752,서대문구,남가좌동,84.98,13,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,574,서대문구,남가좌동,152.146,17,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,739,서대문구,남가좌동,84.974,12,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,517,서대문구,남가좌동,121.614,21,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,650,서대문구,남가좌동,121.614,32,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,521,서대문구,남가좌동,120.492,23,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,759,서대문구,남가좌동,84.98,16,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,526,서대문구,남가좌동,152.146,2,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,742,서대문구,남가좌동,84.971,9,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,517,서대문구,남가좌동,175.078,9,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이1단지,851,서대문구,남가좌동,59.981,7,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이2단지,732,서대문구,남가좌동,84.968,19,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이2단지,548,서대문구,남가좌동,84.99,1,1,126.9184223,37.57018096
가재울미래로 2,DMC파크뷰자이2단지,753,서대문구,남가좌동,84.909,23,1,126.9184223,37.57018096
