"address","Apart","gu","dong","long","lat","dist_from_univ","dist_from_middleschool","dist_from_bus","dist_from_hospital"
"도림로6길 39","성산","구로구","구로동",126.8890549,37.48494242,2.55,0.64,0.18,0.79
"도림로6길 39","(796-51)","구로구","구로동",126.8890549,37.48494242,2.55,0.64,0.18,0.79
"도림로6길 39","한마음(796-72)","구로구","구로동",126.8890549,37.48494242,2.55,0.64,0.18,0.79
"도림로81길 9","슈와이","영등포구","신길동",126.9039119,37.50166919,3.19,0.21,0.08,0.61
"도림로8길 18","대영빌라","구로구","구로동",126.8881974,37.48557691,2.45,0.66,0.13,0.77
"도림천로 344","대림우성2","구로구","구로동",126.8940494,37.49418137,2.42,0.31,0.02,0.46
"도림천로 391","문영칸타빌레","영등포구","대림동",126.8966887,37.48993539,2.81,0.23,0.25,0.5
"도림천로 431","한솔솔파크","영등포구","대림동",126.8990102,37.48703059,3.13,0.44,0.11,0.77
"도림천로12길 6","대림아르빌","구로구","구로동",126.8953585,37.490251,2.69,0.18,0.15,0.53
"도림천로19길 12","(1101-1)","영등포구","대림동",126.900531,37.48682387,3.26,0.57,0.22,0.74
"도봉로 157","두원프라자","강북구","미아동",127.0272435,37.62291686,0.78,0.35,0.13,0.05
"도봉로 261","수유삼호","강북구","수유동",127.0237602,37.63170287,0.36,0.55,0.06,0.07
"도봉로 352","효성인텔리안","강북구","번동",127.0268745,37.63881147,0.99,0.67,0.02,0.22
"도봉로 601","시그마팰리스","도봉구","쌍문동",127.040244,37.65846012,2.27,0.44,0.04,0.07
"도봉로 642","대동","도봉구","창동",127.0424775,37.66166064,2.4,0.64,0.01,0.14
"도봉로110나길 79","하우니티","도봉구","창동",127.0359861,37.64958714,1.76,0.23,0.14,0.49
"도봉로110나길 99","리치","도봉구","창동",127.0366444,37.6502875,1.81,0.19,0.16,0.59
"도봉로110다길 5","창동한신휴플러스(621-69)","도봉구","창동",127.0342287,37.64588575,1.7,0.39,0.04,0.09
"도봉로110다길 51","태영데시앙","도봉구","창동",127.033182,37.64398727,1.65,0.59,0.09,0.19
"도봉로114길 22","창동현대타운","도봉구","창동",127.0355993,37.64739533,1.76,0.3,0.12,0.28
"도봉로127길 43","기용","도봉구","쌍문동",127.0353348,37.65427957,1.72,0.24,0.24,0.46
"도봉로129길 45","경남","도봉구","쌍문동",127.0358282,37.6553962,1.8,0.11,0.21,0.41
"도봉로133길 8","성원하이츠(C동)","도봉구","쌍문동",127.0392136,37.65741343,2.15,0.31,0.08,0.19
"도봉로136가길 68","금호어울림","도봉구","창동",127.0422598,37.65629769,2.12,0.56,0.15,0.22
"도봉로136가길 73","북한산한신휴플러스","도봉구","창동",127.042278,37.65579435,2.1,0.56,0.16,0.19
"도봉로136길 111","창동2차현대","도봉구","창동",127.0467339,37.66051512,2.03,0.35,0.07,0.4
"도봉로136길 28","북한산아이파크5차","도봉구","창동",127.0427411,37.65906054,2.22,0.67,0.05,0.16
"도봉로136나길 40","창동신도브래뉴1차","도봉구","창동",127.0446147,37.65669119,1.95,0.77,0.35,0.36
"도봉로137길 31","에덴","도봉구","쌍문동",127.0397959,37.66036921,2.32,0.56,0.18,0.21
"도봉로145길 65","동부센트레빌아파트","도봉구","방학동",127.0388474,37.66456914,2.49,0.64,0.19,0.55
"도봉로146길 48","우암쎈스뷰아파트","도봉구","방학동",127.0455384,37.6641188,2.38,0.39,0.08,0.51
"도봉로150가길 27","퍼스티안","도봉구","방학동",127.0440079,37.66729595,2.73,0.39,0.14,0.14
"도봉로150길 31","방학E.S.A3아파트","도봉구","방학동",127.045001,37.66615419,2.58,0.49,0.09,0.29
"도봉로150길 42","방학동삼성래미안2","도봉구","방학동",127.0455586,37.66589711,2.53,0.51,0.05,0.33
"도봉로150길 43","방학E.S.A2아파트","도봉구","방학동",127.045638,37.66614498,2.54,0.49,0.04,0.31
"도봉로169길 31","럭키","도봉구","도봉동",127.0439471,37.67991038,3.91,0.17,0.06,0.78
"도봉로169라길 77","극동","도봉구","도봉동",127.0308504,37.6790094,3.36,1.1,0.49,1.63
"도봉로170길 40","래미안도봉","도봉구","도봉동",127.0476075,37.67983233,3.76,0.44,0.07,0.47
"도봉로171길 30","신도봉","도봉구","도봉동",127.0421329,37.67934539,3.88,0.23,0.04,0.93
"도봉로180가길 32","중흥에스-클래스","도봉구","도봉동",127.0466077,37.68485791,4.31,0.51,0.11,0.89
"도봉로180길 50","유원도봉","도봉구","도봉동",127.0486419,37.68248026,4,0.51,0.03,0.57
"도봉로180길 6","동아에코빌","도봉구","도봉동",127.0465224,37.68325417,4.15,0.38,0,0.76
"도봉로180길 6","삼환도봉","도봉구","도봉동",127.0465224,37.68325417,4.15,0.38,0,0.76
"도봉로180나길 20","양우내안애","도봉구","도봉동",127.049103,37.68339058,4.08,0.49,0.06,0.64
"도봉로33길 18","성북프라자","강북구","미아동",127.0268574,37.62153234,0.94,0.23,0.26,0.11
"도봉로34길 48","현대캐슬","강북구","미아동",127.0307702,37.62234765,0.9,0.59,0.13,0.31
