"address","Apart","gu","dong","long","lat"
"학동로46길 32","논현라폴리움","강남구","논현동",127.0389577,37.51418635
"학동로46길 38","두산위브1단지","강남구","논현동",127.0392868,37.51376647
"학동로5길 22","힐스빌7","강남구","논현동",127.0228816,37.5133195
"학동로63길 14","한신오페라하우스 2차","강남구","청담동",127.0450868,37.51893863
"학동로64길 14","현대아파트 101동","강남구","삼성동",127.0451877,37.51685028
"학동로64길 7","삼성동한솔아파트","강남구","삼성동",127.0452946,37.51729815
"학동로68길 29","삼성동힐스테이트 1단지","강남구","삼성동",127.0470877,37.51612084
"학동로68길 30","삼성동중앙하이츠빌리지","강남구","삼성동",127.0468265,37.51607614
"학동로73길 13","청담스위트","강남구","청담동",127.0474375,37.51929662
"학동로73길 33","청담4차이편한세상","강남구","청담동",127.0470885,37.52072012
"학동로77길 27","청담대림e-편한세상","강남구","청담동",127.0483561,37.52039238
"학동로77길 49","삼환","강남구","청담동",127.0478256,37.52185855
"학동로77길 5","청담그랑빌","강남구","청담동",127.049153,37.51909438
"학동로7길 6","스위트캐슬레지던스","강남구","논현동",127.0239103,37.51243954
"학동로82길 25","블루밍하우스","강남구","삼성동",127.0520625,37.51734853
"학동로97길 31","동양파라곤","강남구","청담동",127.0547838,37.52174777
"한가람로 402","강변현대","송파구","풍납동",127.1116335,37.534321
"한가람로 414","갑을","송파구","풍납동",127.1123687,37.53511695
"한가람로 448","동아한가람1","송파구","풍납동",127.1151563,37.53723946
"한가람로 468","신성노바빌아파트","송파구","풍납동",127.1165396,37.53873071
"한가람로 478","씨티극동1","송파구","풍납동",127.1173265,37.53939323
"한강대로 205","용산파크자이","용산구","한강로1가",126.9738792,37.53660745
"한강대로 26","한강대우트럼프월드3","용산구","한강로3가",126.9628879,37.52350254
"한강대로 372","센트레빌아스테리움서울","용산구","동자동",126.9733598,37.55137569
"한강대로10길 14","쌍용스윗닷홈","용산구","한강로3가",126.9640519,37.52389562
"한강대로30길 25","아스테리움 용산","용산구","한강로2가",126.9687685,37.52739974
"한강대로43길 13","한강로대우아이빌","용산구","한강로2가",126.9691552,37.53169931
"한강대로43길 8","벽산메가트리움","용산구","한강로2가",126.9695303,37.53165893
"한강대로53길 16","용산파크e-편한세상","용산구","한강로2가",126.9706603,37.53350649
"한강대로62길 26","삼각아파트","용산구","한강로1가",126.9735935,37.53379891
"한강대로62길 32","삼각아파트","용산구","한강로1가",126.9735099,37.53352597
"한글비석로 151","한신동성","노원구","하계동",127.076111,37.64108802
"한글비석로 366","신일","노원구","중계동",127.0746533,37.65838642
"한글비석로 383","삼창타워주상프라자","노원구","중계동",127.0728609,37.65939009
"한글비석로 396","벽산","노원구","상계동",127.0722064,37.66047265
"한글비석로 479","보람1단지","노원구","상계동",127.064643,37.6645292
"한글비석로 480","보람2단지","노원구","상계동",127.0646968,37.664767
"한글비석로 530","상계주공12(고층)","노원구","상계동",127.0592278,37.66488538
"한글비석로 57","청구","노원구","하계동",127.0686873,37.63650905
"한글비석로 57","한신1","노원구","하계동",127.0686873,37.63650905
"한글비석로 57","한신2","노원구","하계동",127.0686873,37.63650905
"한글비석로 91","하계1청구","노원구","하계동",127.0720037,37.63818688
"한글비석로14길 8","주공2","노원구","중계동",127.0771024,37.657689
"한글비석로15길 51","중계현대2","노원구","중계동",127.0736581,37.65599979
"한글비석로19길 15","동도센트리움(601)","노원구","중계동",127.0730164,37.65845678
"한글비석로46가길 16","한신1차","노원구","상계동",127.0681224,37.66544226
"한글비석로46가길 34","한신3차","노원구","상계동",127.0671486,37.66567132
"한글비석로46나길 10","금호타운","노원구","상계동",127.0691117,37.66688545
"한글비석로48길 6","한신2차","노원구","상계동",127.0676219,37.66445946
"한글비석로52길 54","상계신동아","노원구","상계동",127.0667291,37.66694635
"한글비석로52길 66","상계신동아","노원구","상계동",127.0667983,37.66742988
"한글비석로54길 92","상계주공13(고층)","노원구","상계동",127.0612525,37.66747451
"한글비석로5길 62","주공8","노원구","중계동",127.0743941,37.64623359
"한글비석로8길 20","대림벽산(363)","노원구","중계동",127.0777868,37.64790765
"한글비석로8길 41","주공6","노원구","중계동",127.0790587,37.64818588
"한글비석로8길 42","주공7","노원구","중계동",127.0790154,37.64769809
"한남대로 60","한남동리첸시아","용산구","한남동",127.0075173,37.53426404
"한남대로27길 42","대성 이태리하우스","용산구","한남동",127.0031431,37.53860517
"한남대로27길 52","한남파라곤","용산구","한남동",127.0029997,37.53904634
"한내로 62","한신아파트","금천구","독산동",126.8879628,37.45646252
"한내로 69","독산주공14단지","금천구","독산동",126.8878816,37.45782488
"한림말3길 24","옥수","성동구","옥수동",127.0157168,37.54324243
"한림말길 24","극동옥정","성동구","옥수동",127.0137622,37.540557
"한림말길 50","옥수하이츠","성동구","옥수동",127.0165511,37.54109624
"한빛로 73","용두롯데캐슬리치","동대문구","용두동",127.0309006,37.57874821
"한천로 1131","수유현대","강북구","수유동",127.0187353,37.64556078
"한천로 224","장안현대","동대문구","장안동",127.0685115,37.58090028
"한천로 248","주공2","동대문구","휘경동",127.0685272,37.58294517
"한천로 248","주공1","동대문구","휘경동",127.0685272,37.58294517
"한천로 300","동일스위트리버","동대문구","휘경동",127.0679735,37.58751624
"한천로 42","장안위더스빌","동대문구","장안동",127.0615003,37.56573458
"한천로 509","코오롱","성북구","석관동",127.0664168,37.60594596
"한천로 936","센트로힐","강북구","번동",127.0360824,37.63460562
"한천로 965","더조은홈","강북구","번동",127.0329199,37.63580301
"한천로101길 18","참누리아파트","성북구","장위동",127.0497254,37.62272447
"한천로105길 23","주공1단지","강북구","번동",127.046357,37.62583747
"한천로109길 69","번동한양아파트","강북구","번동",127.0406126,37.6272279
"한천로109길 83","번동솔그린","강북구","번동",127.0397736,37.62676914
"한천로11길 10","동아","동대문구","답십리동",127.0613136,37.56776463
"한천로140길 11","다경하이빌","강북구","수유동",127.0270922,37.64056871
"한천로148길 12","청솔","강북구","수유동",127.0242174,37.64261951
"한천로159길 8","래미안수유","강북구","수유동",127.0194086,37.64465121
"한천로24길 74","한강훼미리","동대문구","장안동",127.0687032,37.56883269
"한천로37길 33","래미안엘파인아파트","동대문구","답십리동",127.0657003,37.57637205
"한천로55길 9","삼익","동대문구","이문동",127.0672683,37.59660194
"한천로58길 107","현대","동대문구","이문동",127.0707727,37.60130415
"한천로58길 139","대우","동대문구","이문동",127.0704334,37.60255789
"한천로58길 181","이문2차푸르지오","동대문구","이문동",127.0705794,37.60457037
"한천로58길 47","쌍용","동대문구","이문동",127.0690083,37.59915265
"한천로63길 10","대림e-편한세상","동대문구","이문동",127.0665104,37.60433757
"한천로68길 51","삼성","성북구","석관동",126.978884,37.611107
"한천로76길 73","중앙하이츠","성북구","석관동",127.066734,37.61079023
"해등로 113","창동주공1단지","도봉구","창동",127.0408166,37.65363934
"해등로 118","상아1차아파트","도봉구","창동",127.0411035,37.65400613
"해등로 139","미소애","도봉구","창동",127.0402893,37.65594193
"해등로 190","신원2","도봉구","쌍문동",127.0356671,37.65809596
"해등로 195","삼익세라믹","도봉구","쌍문동",127.035067,37.65799578
"해등로 206","금호1","도봉구","쌍문동",127.0339096,37.65821031
"해등로 231","한양2","도봉구","쌍문동",127.0310337,37.65772299
"해등로 241","금호2","도봉구","쌍문동",127.0298773,37.65772231
"해등로 242","현대1","도봉구","쌍문동",127.029667,37.6582379
"해등로 242","성원","도봉구","쌍문동",127.029667,37.6582379
"해등로 255","신원에벤에셀","도봉구","쌍문동",127.0282208,37.65758036
"해등로 264","청구아파트","도봉구","방학동",127.0273745,37.65779973
"해등로 286","우성아파트1","도봉구","방학동",127.0247373,37.65786133
"해등로 307","우성아파트2","도봉구","방학동",127.0223269,37.6573189
"해등로 49","창동주공3단지(해등마을)","도봉구","창동",127.0431446,37.64842569
"해등로 50","창동주공3단지(해등마을)","도봉구","창동",127.0433749,37.64858878
"해등로12길 44","창동주공2단지","도봉구","창동",127.04341,37.65285538
"해등로16길 12","현대조합","도봉구","창동",127.0408563,37.65610713
"해등로17길 10","동순미","도봉구","쌍문동",127.0383174,37.6565744
"해등로25길 36","한양5","도봉구","쌍문동",127.0329625,37.65628463
"해등로25길 41","한양7","도봉구","쌍문동",127.0332155,37.65608707
"행당로 27","신금호두산위브","성동구","금호동1가",127.0224237,37.55568667
"행당로 31","푸른마을(8차)","성동구","금호동1가",127.0230261,37.55577891
"행당로 79","대림e-편한세상","성동구","행당동",127.0280366,37.55676787
"행당로 82","행당 한진타운","성동구","행당동",127.0282773,37.55662679
"행당로 99","이수 브라운스톤","성동구","행당동",127.0296438,37.55833666
"행당로8길 8","두산위브","성동구","행당동",127.0306744,37.55731128
"행당로9길 34","다울아크로빌","성동구","행당동",127.0292338,37.55995714
"행운10길 15","관악파크푸르지오","관악구","봉천동",126.9620082,37.48196693
"행운1마길 2","관악태우미소가","관악구","봉천동",126.9558704,37.48390498
"허준로 121","대림경동아파트","강서구","가양동",126.8534852,37.56549591
"허준로 139","강변","강서구","가양동",126.8551014,37.56455565
"허준로 16","강서한강월드메르디앙","강서구","가양동",126.8435494,37.57034583
"허준로 175","가양6단지","강서구","가양동",126.8584446,37.56270283
"허준로 23","한강타운","강서구","가양동",126.8444723,37.57039379
"허준로 234","가양도시개발9-2단지","강서구","가양동",126.8637149,37.55950073
"허준로 47","가양2단지(성지)","강서구","가양동",126.8469791,37.5697143
"허준로 55","중앙하이츠","강서구","가양동",126.8488271,37.56997506
"허준로 76","한보구암마을","강서구","가양동",126.8494193,37.56805887
"헌릉로571길 20","강남엘에이치1단지","강남구","세곡동",127.1019361,37.46699244
"헌릉로590길 63","강남데시앙파크","강남구","세곡동",127.1023796,37.46061549
"헌릉로8길 58","서초더샵포레","서초구","내곡동",127.0633213,37.45427816
"현충로 119","명수대현대","동작구","흑석동",126.9669334,37.50717761
"현충로 151","한강현대","동작구","흑석동",126.9702118,37.50597783
"현충로 50","리버힐","동작구","흑석동",126.9610789,37.51124454
"현충로10길 42","명수대한양","동작구","흑석동",126.9669659,37.50494822
"형촌길 15","서초네이처힐2단지","서초구","우면동",127.0220231,37.46307653
"형촌길 35","서초네이처힐1단지","서초구","우면동",127.0205713,37.46350493
"혜화로5길 20","아마레스","종로구","명륜1가",126.9989048,37.58689442
